date,reservoir,depth,density_cells/ml
2017-09-20,CHL,0,"88314,09663"
2017-09-20,CHL,0,"1384,429492"
2017-09-20,CHL,0,"807706,0088"
2017-09-20,CHL,0,"590600,5212"
2017-09-20,CHL,0,"318298,7233"
2017-09-20,CHL,5,"2342,880678"
2017-09-20,CHL,5,"113459,0825"
2017-09-20,CHL,5,"361842,4793"
2017-09-20,CHL,5,"72061,84968"
2017-09-20,CHL,5,"257582,7818"
2017-09-20,CHL,5,"32197,84773"
2017-09-20,CHL,5,"88927,38897"
2017-09-20,CHL,5,"67462,15715"
2017-09-20,CHL,5,"33731,07857"
2017-09-20,CHL,5,"29131,38604"
2017-09-20,CHL,5,"996600,0488"
2017-09-20,CHL,5,"65928,92631"
2017-09-20,CHL,5,"231517,8575"
2017-09-20,CHL,5,"2342,880678"
2017-09-20,CHL,5,"610225,876"
2017-09-20,CHL,5,"16865,53929"
2017-09-20,CHL,0,"18398,77013"
2017-09-20,CHL,0,"17248,847"
2017-09-20,CHL,0,"136840,8529"
2017-09-20,CHL,0,"292080,4758"
2017-09-20,CHL,0,"110392,6208"
2017-09-20,CHL,0,"62095,84919"
2017-09-20,CHL,0,"9199,385066"
2017-09-20,CHL,0,"64395,69546"
2017-09-20,CHL,0,"425,9783051"
2017-09-20,CHL,0,"32197,84773"
2017-09-20,CHL,0,"312779,0922"
2017-09-20,CHL,0,"18398,77013"
2017-09-20,CHL,0,"270231,9363"
2017-09-20,CHL,0,"1384,429492"
2017-09-20,CHL,0,"325428,2467"
2017-09-20,CHL,0,53750
2017-09-20,CHL,0,1000
2017-09-20,CHL,0,21300
2017-09-20,CHL,0,1000
2017-09-20,CHL,0,2000
2017-09-20,CHL,0,3000
2017-09-20,CHL,0,21500
2017-09-20,CHL,0,"1,00E+05"
2017-09-20,CHL,0,75200
2017-09-20,CHL,0,43000
2017-09-20,CHL,0,166400
2017-09-20,CHL,0,131250
2017-09-20,CHL,0,2000
2018-07-09,CHL,0,"2129,891525"
2018-07-09,CHL,0,"53356,43338"
2018-07-09,CHL,0,"11039,26208"
2018-07-09,CHL,0,"511485,8097"
2018-07-09,CHL,0,"3194,837288"
2018-07-09,CHL,0,"2485673,845"
2018-07-09,CHL,0,"147190,1611"
2018-07-09,CHL,0,"1080007,807"
2018-07-09,CHL,0,"568521,9971"
2018-07-09,CHL,0,"441570,4832"
2018-07-09,CHL,0,"16558,89312"
2018-07-09,CHL,5,"1810,407797"
2018-07-09,CHL,5,"62555,81845"
2018-07-09,CHL,5,"18398,77013"
2018-07-09,CHL,5,"415812,205"
2018-07-09,CHL,5,"9052,038983"
2018-07-09,CHL,5,"1825157,997"
2018-07-09,CHL,5,"31277,90922"
2018-07-09,CHL,5,"1703,91322"
2018-07-09,CHL,5,"95673,60469"
2018-07-09,CHL,5,"907059,3675"
2018-07-09,CHL,5,"384534,2958"
2018-07-09,CHL,5,"23918,40117"
2018-07-09,CHL,5,"268622,0439"
2017-08-29,CMR,0,"26283,95733"
2017-08-29,CMR,0,"21027,16586"
2017-08-29,CMR,0,"7885,187199"
2017-08-29,CMR,0,"312779,0922"
2017-08-29,CMR,0,"152446,9525"
2017-08-29,CMR,0,"19712,968"
2017-08-29,CMR,0,"220785,2416"
2017-08-29,CMR,0,"51253,7168"
2017-08-29,CMR,0,"456026,6597"
2017-08-29,CMR,0,"45996,92533"
2017-08-29,CMR,0,"51253,7168"
2017-08-29,CMR,0,"19712,968"
2017-08-29,CMR,0,"2236,386102"
2017-08-29,CMR,0,"475739,6277"
2017-08-29,CMR,0,"2628,395733"
2017-08-29,CMR,5,"2023,396949"
2017-08-29,CMR,5,"141057,2377"
2017-08-29,CMR,5,"432371,0981"
